DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
29-Dec-2017,EQ,"1,876.80","1,879.20","1,868.15","1,878.05","1,871.40","1,872.40","1,873.42","1,903.10","1,170.10",1586468,"2,97,21,20,303.05",29466
28-Dec-2017,EQ,"1,858.90","1,880.90","1,858.00","1,856.75","1,870.05","1,878.05","1,873.07","1,903.10","1,170.10",2175130,"4,07,41,75,062.75",42854
27-Dec-2017,EQ,"1,870.10","1,870.30","1,851.15","1,868.35","1,852.50","1,856.75","1,863.90","1,903.10","1,170.10",872346,"1,62,59,67,980.30",21881
26-Dec-2017,EQ,"1,881.00","1,882.80","1,856.70","1,876.65","1,870.00","1,868.35","1,867.60","1,903.10","1,170.10",1696424,"3,16,82,35,275.05",23017
22-Dec-2017,EQ,"1,879.00","1,880.00","1,861.75","1,868.30","1,874.65","1,876.65","1,870.36","1,903.10","1,168.40",1117726,"2,09,05,53,505.80",46791
21-Dec-2017,EQ,"1,879.90","1,885.00","1,865.20","1,868.15","1,866.05","1,868.30","1,871.04","1,903.10","1,168.40",1713636,"3,20,62,88,352.65",57272
20-Dec-2017,EQ,"1,898.90","1,903.10","1,863.65","1,884.50","1,866.35","1,868.15","1,885.29","1,903.10","1,168.40",2335876,"4,40,38,01,177.45",83598
19-Dec-2017,EQ,"1,879.80","1,893.65","1,876.15","1,878.95","1,886.95","1,884.50","1,884.02","1,899.00","1,168.40",1238028,"2,33,24,75,336.00",34874
18-Dec-2017,EQ,"1,855.00","1,899.00","1,809.30","1,873.45","1,878.40","1,878.95","1,876.25","1,899.00","1,168.40",3074497,"5,76,85,29,010.90",46417
15-Dec-2017,EQ,"1,856.00","1,888.00","1,855.50","1,838.05","1,871.00","1,873.45","1,877.73","1,888.00","1,163.60",3112531,"5,84,44,89,331.25",68576
14-Dec-2017,EQ,"1,824.00","1,840.00","1,812.00","1,821.35","1,837.10","1,838.05","1,826.18","1,879.60","1,163.60",920773,"1,68,14,96,960.90",21825
13-Dec-2017,EQ,"1,820.05","1,845.00","1,815.10","1,819.90","1,821.40","1,821.35","1,832.20","1,879.60","1,163.60",726865,"1,33,17,63,552.75",27628
12-Dec-2017,EQ,"1,849.10","1,849.90","1,815.95","1,846.40","1,818.00","1,819.90","1,826.78","1,879.60","1,163.60",602647,"1,10,09,01,256.80",17546
11-Dec-2017,EQ,"1,848.00","1,851.75","1,840.00","1,840.40","1,846.40","1,846.40","1,846.99","1,879.60","1,163.60",799558,"1,47,67,74,981.65",45584
08-Dec-2017,EQ,"1,814.00","1,853.00","1,814.00","1,809.65","1,842.25","1,840.40","1,839.43","1,879.60","1,163.60",2239100,"4,11,86,73,540.75",38922
07-Dec-2017,EQ,"1,806.65","1,816.60","1,803.10","1,803.30","1,810.90","1,809.65","1,809.12","1,879.60","1,163.60",1057826,"1,91,37,37,162.85",49113
06-Dec-2017,EQ,"1,819.95","1,821.35","1,799.00","1,820.45","1,799.30","1,803.30","1,809.42","1,879.60","1,163.60",1598780,"2,89,28,66,502.15",47014
05-Dec-2017,EQ,"1,826.00","1,828.55","1,807.00","1,834.10","1,824.90","1,820.45","1,818.21","1,879.60","1,163.60",973340,"1,76,97,39,387.85",30980
04-Dec-2017,EQ,"1,854.90","1,854.90","1,830.10","1,848.20","1,836.30","1,834.10","1,840.43","1,879.60","1,163.60",910483,"1,67,56,80,713.00",36729
01-Dec-2017,EQ,"1,854.90","1,860.00","1,844.10","1,853.70","1,850.85","1,848.20","1,850.81","1,879.60","1,163.60",964537,"1,78,51,77,398.10",39290
30-Nov-2017,EQ,"1,868.70","1,873.95","1,840.00","1,873.30","1,852.75","1,853.70","1,859.89","1,879.60","1,163.60",1449078,"2,69,51,22,047.35",37220
29-Nov-2017,EQ,"1,865.00","1,875.50","1,855.80","1,865.35","1,873.00","1,873.30","1,869.11","1,879.60","1,163.60",818646,"1,53,01,42,584.45",17331
28-Nov-2017,EQ,"1,856.00","1,871.00","1,855.85","1,857.55","1,867.15","1,865.35","1,866.29","1,879.60","1,163.60",1272635,"2,37,51,05,182.85",44306
27-Nov-2017,EQ,"1,849.00","1,862.00","1,845.60","1,851.40","1,860.15","1,857.55","1,852.09","1,879.60","1,163.60",967618,"1,79,21,11,671.55",75853
24-Nov-2017,EQ,"1,843.00","1,857.80","1,841.00","1,842.85","1,857.50","1,851.40","1,848.31","1,879.60","1,158.00",1300921,"2,40,45,01,397.40",26271
23-Nov-2017,EQ,"1,859.00","1,860.00","1,838.00","1,855.25","1,840.00","1,842.85","1,847.79","1,879.60","1,158.00",808145,"1,49,32,78,728.15",16903
22-Nov-2017,EQ,"1,849.70","1,860.00","1,844.55","1,846.25","1,854.60","1,855.25","1,853.89","1,879.60","1,158.00",1415199,"2,62,36,28,896.95",31420
21-Nov-2017,EQ,"1,837.45","1,850.00","1,836.10","1,838.15","1,848.00","1,846.25","1,845.41","1,879.60","1,158.00",568883,"1,04,98,22,787.25",17143
