DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2015,EQ,"1,075.00","1,084.90","1,075.00","1,074.30","1,081.65","1,082.15","1,081.80","1,128.00","936.25",2322502,"2,51,24,84,570.75",17436
30-Dec-2015,EQ,"1,080.00","1,081.95","1,072.55","1,077.95","1,074.25","1,074.30","1,076.02","1,128.00","936.25",528140,"56,82,86,679.05",11053
29-Dec-2015,EQ,"1,078.95","1,079.85","1,071.30","1,077.25","1,079.70","1,077.95","1,077.24","1,128.00","936.25",1057903,"1,13,96,19,522.30",10165
28-Dec-2015,EQ,"1,074.00","1,079.90","1,067.75","1,074.00","1,078.00","1,077.25","1,075.95","1,128.00","936.25",1938857,"2,08,61,07,546.10",32315
24-Dec-2015,EQ,"1,076.20","1,076.40","1,068.30","1,074.10","1,076.00","1,074.00","1,072.33","1,128.00","936.25",536588,"57,54,00,304.65",15531
23-Dec-2015,EQ,"1,072.60","1,077.95","1,069.15","1,066.45","1,075.30","1,074.10","1,073.28","1,128.00","936.25",753492,"80,87,08,930.65",11582
22-Dec-2015,EQ,"1,074.50","1,076.50","1,064.00","1,075.40","1,069.90","1,066.45","1,069.98","1,128.00","936.25",607384,"64,98,88,320.10",17851
21-Dec-2015,EQ,"1,071.75","1,079.90","1,069.05","1,073.00","1,073.65","1,075.40","1,073.60","1,128.00","936.25",774375,"83,13,71,689.50",22232
18-Dec-2015,EQ,"1,085.00","1,085.00","1,068.50","1,080.25","1,073.00","1,073.00","1,072.78","1,128.00","916.00",793032,"85,07,46,738.70",17462
17-Dec-2015,EQ,"1,073.90","1,084.00","1,065.00","1,067.30","1,075.00","1,080.25","1,073.91","1,128.00","916.00",1219503,"1,30,96,30,538.75",25069
16-Dec-2015,EQ,"1,063.00","1,073.35","1,059.35","1,059.45","1,065.10","1,067.30","1,066.42","1,128.00","916.00",1710692,"1,82,43,11,270.15",26076
15-Dec-2015,EQ,"1,053.00","1,062.45","1,045.30","1,055.05","1,055.20","1,059.45","1,054.01","1,128.00","916.00",1139354,"1,20,08,89,584.05",19505
14-Dec-2015,EQ,"1,041.00","1,059.85","1,040.10","1,046.35","1,056.35","1,055.05","1,052.42","1,128.00","916.00",1469504,"1,54,65,38,164.35",24638
11-Dec-2015,EQ,"1,060.00","1,060.60","1,042.00","1,060.60","1,047.65","1,046.35","1,050.17","1,128.00","916.00",758480,"79,65,29,708.50",15358
10-Dec-2015,EQ,"1,045.00","1,063.20","1,042.30","1,047.45","1,059.20","1,060.60","1,057.01","1,128.00","916.00",1628585,"1,72,14,38,359.80",38440
09-Dec-2015,EQ,"1,047.10","1,057.00","1,044.85","1,049.25","1,048.00","1,047.45","1,051.28","1,128.00","916.00",972654,"1,02,25,29,724.25",18782
08-Dec-2015,EQ,"1,061.00","1,061.90","1,047.00","1,061.95","1,051.05","1,049.25","1,051.65","1,128.00","916.00",1225665,"1,28,89,75,658.15",26629
07-Dec-2015,EQ,"1,068.20","1,071.10","1,061.10","1,058.90","1,062.50","1,061.95","1,064.66","1,128.00","916.00",1453702,"1,54,77,02,644.60",29875
04-Dec-2015,EQ,"1,073.60","1,073.60","1,056.00","1,076.75","1,061.50","1,058.90","1,062.15","1,128.00","916.00",1464957,"1,55,59,98,522.95",25620
03-Dec-2015,EQ,"1,072.50","1,081.00","1,067.30","1,077.80","1,075.75","1,076.75","1,075.59","1,128.00","916.00",951928,"1,02,38,88,589.05",15087
02-Dec-2015,EQ,"1,090.00","1,092.70","1,071.85","1,083.00","1,075.10","1,077.80","1,080.15","1,128.00","916.00",640571,"69,19,14,786.00",9260
01-Dec-2015,EQ,"1,077.05","1,084.90","1,073.50","1,077.75","1,081.05","1,083.00","1,080.57","1,128.00","916.00",473833,"51,20,08,036.20",11374
30-Nov-2015,EQ,"1,079.20","1,081.00","1,069.70","1,079.40","1,079.10","1,077.75","1,076.08","1,128.00","916.00",1311944,"1,41,17,57,970.15",20272
27-Nov-2015,EQ,"1,064.85","1,082.20","1,060.95","1,063.95","1,078.35","1,079.40","1,077.19","1,128.00","916.00",1731268,"1,86,49,07,097.25",30569
26-Nov-2015,EQ,"1,059.00","1,067.00","1,051.10","1,064.35","1,065.10","1,063.95","1,063.77","1,128.00","916.00",2197871,"2,33,80,35,757.40",20476
24-Nov-2015,EQ,"1,065.25","1,073.50","1,062.10","1,066.05","1,069.00","1,064.35","1,067.82","1,128.00","916.00",1000563,"1,06,84,20,007.40",11744
23-Nov-2015,EQ,"1,074.00","1,075.50","1,059.05","1,070.85","1,066.50","1,066.05","1,066.69","1,128.00","916.00",852070,"90,88,96,026.65",24578
20-Nov-2015,EQ,"1,064.90","1,080.25","1,060.00","1,068.90","1,068.40","1,070.85","1,073.74","1,128.00","908.00",1162040,"1,24,77,23,459.30",23648
19-Nov-2015,EQ,"1,055.00","1,070.95","1,049.60","1,048.60","1,070.00","1,068.90","1,062.88","1,128.00","908.00",819420,"87,09,41,607.00",22226
18-Nov-2015,EQ,"1,061.70","1,065.85","1,046.30","1,060.80","1,048.45","1,048.60","1,055.51","1,128.00","908.00",611680,"64,56,35,697.35",10743
17-Nov-2015,EQ,"1,063.30","1,063.80","1,051.20","1,060.95","1,058.75","1,060.80","1,059.19","1,128.00","908.00",641851,"67,98,43,553.30",13325
16-Nov-2015,EQ,"1,048.75","1,065.00","1,045.25","1,052.05","1,058.00","1,060.95","1,058.94","1,128.00","908.00",1183683,"1,25,34,44,510.50",18537
13-Nov-2015,EQ,"1,049.40","1,055.00","1,041.00","1,054.40","1,051.10","1,052.05","1,051.29","1,128.00","893.00",985007,"1,03,55,27,667.50",24050
11-Nov-2015,EQ,"1,055.00","1,060.00","1,052.45","1,054.60","1,054.90","1,054.40","1,055.11","1,128.00","893.00",243873,"25,73,12,301.95",5880
10-Nov-2015,EQ,"1,060.05","1,065.00","1,052.45","1,064.80","1,054.50","1,054.60","1,057.20","1,128.00","893.00",1100645,"1,16,36,04,499.75",26121
09-Nov-2015,EQ,"1,058.00","1,069.65","1,051.00","1,080.90","1,062.10","1,064.80","1,060.69","1,128.00","893.00",2857358,"3,03,07,66,186.25",42645
06-Nov-2015,EQ,"1,080.70","1,089.00","1,075.25","1,079.85","1,079.65","1,080.90","1,083.70","1,128.00","893.00",1470251,"1,59,33,05,011.05",19312
