DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2018,EQ,"2,137.00","2,137.00","2,116.70","2,122.90","2,121.85","2,121.70","2,124.35","2,220.00","1,828.50",1466632,"3,11,56,38,472.70",71843
28-Dec-2018,EQ,"2,117.35","2,137.75","2,115.50","2,105.05","2,124.00","2,122.90","2,124.98","2,220.00","1,828.50",2353903,"5,00,19,99,453.50",104735
27-Dec-2018,EQ,"2,133.00","2,138.20","2,098.45","2,122.35","2,107.00","2,105.05","2,115.65","2,220.00","1,828.50",2909967,"6,15,64,62,276.70",101521
26-Dec-2018,EQ,"2,077.00","2,127.00","2,069.00","2,080.65","2,124.80","2,122.35","2,093.35","2,220.00","1,828.50",1900479,"3,97,83,76,727.00",77934
24-Dec-2018,EQ,"2,104.00","2,104.00","2,077.35","2,111.15","2,083.00","2,080.65","2,088.50","2,220.00","1,828.50",1400372,"2,92,46,75,632.50",65118
21-Dec-2018,EQ,"2,134.00","2,149.10","2,109.05","2,137.45","2,111.15","2,111.15","2,126.59","2,220.00","1,809.30",2555077,"5,43,36,09,822.60",146305
20-Dec-2018,EQ,"2,112.55","2,140.45","2,102.65","2,123.45","2,138.00","2,137.45","2,119.71","2,220.00","1,809.30",1995119,"4,22,90,74,553.65",108131
19-Dec-2018,EQ,"2,133.10","2,159.40","2,113.55","2,135.45","2,123.00","2,123.45","2,129.21","2,220.00","1,809.30",2252474,"4,79,59,95,431.55",118427
18-Dec-2018,EQ,"2,124.00","2,139.00","2,102.60","2,130.20","2,138.10","2,135.45","2,120.42","2,220.00","1,809.30",1853492,"3,93,01,78,580.25",73591
17-Dec-2018,EQ,"2,104.00","2,132.60","2,099.00","2,095.70","2,128.50","2,130.20","2,120.53","2,220.00","1,809.30",2109331,"4,47,28,90,885.35",86084
14-Dec-2018,EQ,"2,104.90","2,118.00","2,088.05","2,101.30","2,095.10","2,095.70","2,100.36","2,220.00","1,809.30",1539571,"3,23,36,50,712.40",86089
13-Dec-2018,EQ,"2,095.00","2,125.00","2,091.30","2,085.30","2,100.00","2,101.30","2,106.01","2,220.00","1,809.30",1766059,"3,71,93,35,180.80",105301
12-Dec-2018,EQ,"2,066.95","2,089.80","2,060.10","2,059.55","2,084.60","2,085.30","2,078.41","2,220.00","1,809.30",2842622,"5,90,81,46,554.45",146407
