"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","30 Dec 2016","18026.35","18245.75","18016.80","18177.20"
"NIFTY BANK","29 Dec 2016","17861.45","18053.30","17829.40","18033.15"
"NIFTY BANK","28 Dec 2016","17929.20","18059.65","17829.15","17876.70"
"NIFTY BANK","27 Dec 2016","17677.70","17907.35","17616.10","17879.55"
"NIFTY BANK","26 Dec 2016","17825.50","17860.85","17606.90","17655.55"
"NIFTY BANK","23 Dec 2016","17849.25","17962.30","17819.75","17884.00"
"NIFTY BANK","22 Dec 2016","18027.00","18029.60","17839.75","17891.45"
"NIFTY BANK","21 Dec 2016","18124.60","18167.15","18043.95","18084.50"
"NIFTY BANK","20 Dec 2016","18264.10","18274.90","18009.80","18069.40"
"NIFTY BANK","19 Dec 2016","18258.10","18316.80","18215.50","18257.05"
"NIFTY BANK","16 Dec 2016","18417.90","18428.45","18268.30","18312.80"
"NIFTY BANK","15 Dec 2016","18143.50","18532.00","18122.10","18401.15"
"NIFTY BANK","14 Dec 2016","18480.35","18485.45","18322.90","18341.50"
"NIFTY BANK","13 Dec 2016","18354.10","18492.85","18291.35","18466.05"
"NIFTY BANK","12 Dec 2016","18616.05","18616.05","18364.05","18392.95"
"NIFTY BANK","09 Dec 2016","18567.95","18739.65","18432.30","18695.80"
"NIFTY BANK","08 Dec 2016","18342.60","18558.75","18336.95","18515.45"
"NIFTY BANK","07 Dec 2016","18515.50","18588.75","17952.60","18234.15"
"NIFTY BANK","06 Dec 2016","18459.70","18499.75","18365.95","18420.90"
"NIFTY BANK","05 Dec 2016","18245.00","18434.25","18189.50","18408.90"
"NIFTY BANK","02 Dec 2016","18329.40","18490.50","18163.80","18247.65"
"NIFTY BANK","01 Dec 2016","18676.75","18713.10","18389.65","18428.45"
"NIFTY BANK","30 Nov 2016","18306.10","18667.85","18262.50","18627.80"
"NIFTY BANK","29 Nov 2016","18308.80","18427.40","18188.70","18223.75"
"NIFTY BANK","28 Nov 2016","18237.20","18471.65","18187.40","18301.45"
"NIFTY BANK","25 Nov 2016","18377.55","18546.35","18266.60","18507.30"
"NIFTY BANK","24 Nov 2016","18476.00","18476.35","18215.80","18256.10"
"NIFTY BANK","23 Nov 2016","18660.55","18669.05","18449.70","18540.90"
"NIFTY BANK","22 Nov 2016","18626.70","18650.50","18322.70","18548.65"
"NIFTY BANK","21 Nov 2016","19063.80","19075.95","18351.25","18446.40"
"NIFTY BANK","18 Nov 2016","19180.30","19216.35","18897.10","18959.05"
"NIFTY BANK","17 Nov 2016","19115.90","19328.75","19009.85","19087.85"
"NIFTY BANK","16 Nov 2016","19591.25","19611.90","19088.40","19108.10"
"NIFTY BANK","15 Nov 2016","19808.35","19861.75","19240.45","19289.75"
"NIFTY BANK","11 Nov 2016","20033.85","20309.65","19704.35","19738.80"
"NIFTY BANK","10 Nov 2016","19827.50","20283.15","19787.45","20200.25"
"NIFTY BANK","09 Nov 2016","18270.90","19587.80","18143.70","19518.25"
"NIFTY BANK","08 Nov 2016","19490.75","19549.45","19322.15","19500.80"
"NIFTY BANK","07 Nov 2016","19317.85","19378.00","19233.00","19356.00"
"NIFTY BANK","04 Nov 2016","19223.85","19223.90","18961.15","19058.10"
"NIFTY BANK","03 Nov 2016","19201.95","19319.65","19119.30","19178.70"
"NIFTY BANK","02 Nov 2016","19223.50","19296.55","19158.75","19227.90"
