"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","31 Dec 2025","59194.6","59766.2","59187.1","59581.85"
"NIFTY BANK","30 Dec 2025","58885.95","59272.7","58737.6","59171.25"
"NIFTY BANK","29 Dec 2025","59007.05","59140.4","58809.55","58932.35"
"NIFTY BANK","26 Dec 2025","59092.85","59180.65","58947.05","59011.35"
"NIFTY BANK","24 Dec 2025","59322.95","59478.15","59118.25","59183.60"
"NIFTY BANK","23 Dec 2025","59334.35","59402.35","59216.75","59299.55"
"NIFTY BANK","22 Dec 2025","59224.75","59371.2","59155.5","59304.00"
"NIFTY BANK","19 Dec 2025","59047.4","59140.55","58897.5","59069.20"
"NIFTY BANK","18 Dec 2025","58712.7","59211","58712.7","58912.85"
"NIFTY BANK","17 Dec 2025","59072.8","59127.2","58801.4","58926.75"
"NIFTY BANK","16 Dec 2025","59288.75","59335.25","58966.35","59034.60"
"NIFTY BANK","15 Dec 2025","59053.7","59533","59044.65","59461.80"
"NIFTY BANK","12 Dec 2025","59401.5","59545.7","59224.85","59389.95"
"NIFTY BANK","11 Dec 2025","58966.2","59423.35","58799.9","59209.85"
"NIFTY BANK","10 Dec 2025","59281.55","59440.9","58853.9","58960.40"
"NIFTY BANK","09 Dec 2025","58918.85","59358.25","58878.45","59222.35"
"NIFTY BANK","08 Dec 2025","59672.05","59713.15","59030.6","59238.55"
"NIFTY BANK","05 Dec 2025","59133.2","59806.6","59106.55","59777.20"
"NIFTY BANK","04 Dec 2025","59287.1","59548.7","59062.15","59288.70"
"NIFTY BANK","03 Dec 2025","59158.7","59414.9","58925.7","59348.25"
"NIFTY BANK","02 Dec 2025","59354.2","59656.55","59251.95","59273.80"
"NIFTY BANK","01 Dec 2025","60102.05","60114.3","59527.6","59681.35"
"NIFTY BANK","28 Nov 2025","59758.7","59897.5","59598.95","59752.70"
"NIFTY BANK","27 Nov 2025","59605.3","59866.6","59523","59737.30"
"NIFTY BANK","26 Nov 2025","58783.05","59554.95","58783.05","59528.05"
"NIFTY BANK","25 Nov 2025","58925.65","59166.15","58746.2","58820.30"
"NIFTY BANK","24 Nov 2025","58996.9","59309.9","58649.5","58835.35"
"NIFTY BANK","21 Nov 2025","59116.7","59232.15","58823.65","58867.70"
"NIFTY BANK","20 Nov 2025","59308.2","59440.1","59125.25","59347.70"
"NIFTY BANK","19 Nov 2025","58908.15","59264.25","58688.55","59216.05"
"NIFTY BANK","18 Nov 2025","58990.5","59103.65","58798.9","58899.25"
"NIFTY BANK","17 Nov 2025","58696.3","59001.55","58605.3","58962.70"
"NIFTY BANK","14 Nov 2025","58050","58590.15","58050","58517.55"
"NIFTY BANK","13 Nov 2025","58158.75","58615.95","58127.1","58381.95"
"NIFTY BANK","12 Nov 2025","58505.35","58507.7","58171.85","58274.65"
"NIFTY BANK","11 Nov 2025","57962.3","58187.35","57594.25","58138.15"
"NIFTY BANK","10 Nov 2025","57846.2","58097.2","57846.2","57937.55"
"NIFTY BANK","07 Nov 2025","57391.4","58001.35","57157.85","57876.80"
"NIFTY BANK","06 Nov 2025","57714.8","57945.05","57521","57554.25"
"NIFTY BANK","04 Nov 2025","57966.65","58119.65","57732.95","57827.05"
"NIFTY BANK","03 Nov 2025","57726.85","58247.55","57718.4","58101.45"
"NIFTY BANK","31 Oct 2025","57942.45","58254.95","57656.95","57776.35"
"NIFTY BANK","30 Oct 2025","58152.05","58331.2","57999.2","58031.10"
"NIFTY BANK","29 Oct 2025","58316.25","58469.9","58087.05","58385.25"
"NIFTY BANK","28 Oct 2025","58006.55","58313.8","57770.35","58214.10"
"NIFTY BANK","27 Oct 2025","57796.45","58224.55","57652.75","58114.25"
"NIFTY BANK","24 Oct 2025","58172.75","58232.9","57482.05","57699.60"
"NIFTY BANK","23 Oct 2025","58314.55","58577.5","57951.45","58078.05"
"NIFTY BANK","21 Oct 2025","58063.4","58155.55","57887.2","58007.20"
"NIFTY BANK","20 Oct 2025","57872.85","58261.55","57872.85","58033.20"
"NIFTY BANK","17 Oct 2025","57362.9","57830.2","57238.65","57713.35"
"NIFTY BANK","16 Oct 2025","57139.95","57525.8","56994.7","57422.55"
"NIFTY BANK","15 Oct 2025","56528.95","56922.7","56491.85","56799.90"
"NIFTY BANK","14 Oct 2025","56598.65","56721.3","56230.15","56496.45"
"NIFTY BANK","13 Oct 2025","56337.05","56770.9","56327.4","56625.00"
"NIFTY BANK","10 Oct 2025","56168.6","56760.25","56152.45","56609.75"
"NIFTY BANK","09 Oct 2025","55979","56286.25","55843.9","56192.05"
"NIFTY BANK","08 Oct 2025","56098.5","56303.6","55821","56018.25"
"NIFTY BANK","07 Oct 2025","56126.4","56502.45","56025.05","56239.35"
"NIFTY BANK","06 Oct 2025","55834.7","56164.2","55727.25","56104.85"
"NIFTY BANK","03 Oct 2025","55182.6","55616.45","55177","55589.25"
"NIFTY BANK","01 Oct 2025","54653.9","55406.75","54582.55","55347.95"
"NIFTY BANK","30 Sep 2025","54705.5","54793.05","54502.95","54635.85"
"NIFTY BANK","29 Sep 2025","54460.4","54686.05","54226.6","54461.00"
"NIFTY BANK","26 Sep 2025","54797.9","54897","54310.95","54389.35"
"NIFTY BANK","25 Sep 2025","55061.65","55276.65","54903.3","54976.20"
"NIFTY BANK","24 Sep 2025","55387.1","55511.1","55040.45","55121.50"
"NIFTY BANK","23 Sep 2025","55248.7","55662","55159","55509.75"
"NIFTY BANK","22 Sep 2025","55429.3","55666.35","55215.6","55284.75"
"NIFTY BANK","19 Sep 2025","55647.95","55688.75","55355.3","55458.85"
"NIFTY BANK","18 Sep 2025","55797.1","55835.25","55490.9","55727.45"
"NIFTY BANK","17 Sep 2025","55158.35","55540.75","55146.55","55493.30"
"NIFTY BANK","16 Sep 2025","54778.4","55185.45","54777.75","55147.60"
"NIFTY BANK","15 Sep 2025","54884.05","55018.7","54807.5","54887.85"
"NIFTY BANK","12 Sep 2025","54781.55","54852.25","54580.35","54809.30"
"NIFTY BANK","11 Sep 2025","54413.05","54757.45","54402.4","54669.60"
"NIFTY BANK","10 Sep 2025","54554.75","54705.2","54400","54536.00"
"NIFTY BANK","09 Sep 2025","54330.55","54350.65","54079.45","54216.10"
"NIFTY BANK","08 Sep 2025","54215.4","54518.7","54067.15","54186.90"
"NIFTY BANK","05 Sep 2025","54308.05","54308.05","53719.55","54114.55"
"NIFTY BANK","04 Sep 2025","54379.6","54450.55","53971.85","54075.45"
"NIFTY BANK","03 Sep 2025","53630.75","54136.15","53561.75","54067.55"
"NIFTY BANK","02 Sep 2025","54038.25","54160.95","53578","53661.00"
"NIFTY BANK","01 Sep 2025","53658.15","54035.85","53658.15","54002.45"
"NIFTY BANK","29 Aug 2025","53660.35","54086","53606.45","53655.65"
"NIFTY BANK","28 Aug 2025","54256","54382.25","53768.45","53820.35"
"NIFTY BANK","26 Aug 2025","54999.05","55068.9","54396.1","54450.45"
"NIFTY BANK","25 Aug 2025","55147.75","55306","55048.4","55139.30"
"NIFTY BANK","22 Aug 2025","55669.25","55745","55102.6","55149.40"
"NIFTY BANK","21 Aug 2025","55972.05","55993.65","55708.2","55755.45"
"NIFTY BANK","20 Aug 2025","55751.5","55812.6","55577.35","55698.50"
"NIFTY BANK","19 Aug 2025","55622.3","55965.55","55608.15","55865.15"
"NIFTY BANK","18 Aug 2025","55940.6","56156.3","55647.65","55734.90"
"NIFTY BANK","14 Aug 2025","55102.55","55472.8","55074.3","55341.85"
"NIFTY BANK","13 Aug 2025","55340.05","55340.05","55026.95","55181.45"
"NIFTY BANK","12 Aug 2025","55441.1","55566.7","55001.5","55043.70"
"NIFTY BANK","11 Aug 2025","54999.35","55582.15","54927.55","55510.75"
"NIFTY BANK","08 Aug 2025","55609.35","55652.6","54905.6","55004.90"
