"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","29 Dec 2023","48374.85","48477.70","48091.85","48292.25"
"NIFTY BANK","28 Dec 2023","48479.05","48636.45","48343.15","48508.55"
"NIFTY BANK","27 Dec 2023","47818.50","48347.65","47806.70","48282.20"
"NIFTY BANK","26 Dec 2023","47576.40","47838.45","47411.65","47724.85"
"NIFTY BANK","22 Dec 2023","47837.75","48071.40","47415.85","47491.85"
"NIFTY BANK","21 Dec 2023","47172.45","47932.40","46919.70","47840.15"
"NIFTY BANK","20 Dec 2023","48085.35","48166.15","47202.65","47445.30"
"NIFTY BANK","19 Dec 2023","47940.40","48017.00","47646.05","47870.90"
"NIFTY BANK","18 Dec 2023","48068.50","48076.60","47806.70","47867.70"
"NIFTY BANK","15 Dec 2023","47939.90","48219.95","47632.85","48143.55"
"NIFTY BANK","14 Dec 2023","47567.65","47943.60","47510.85","47732.30"
"NIFTY BANK","13 Dec 2023","47190.75","47201.95","46886.90","47092.25"
"NIFTY BANK","12 Dec 2023","47421.70","47454.00","47004.05","47097.55"
"NIFTY BANK","11 Dec 2023","47233.30","47588.00","47186.60","47314.25"
"NIFTY BANK","08 Dec 2023","46797.20","47303.65","46793.90","47262.00"
"NIFTY BANK","07 Dec 2023","46735.40","46927.70","46507.15","46841.40"
"NIFTY BANK","06 Dec 2023","47256.75","47259.85","46750.20","46834.55"
"NIFTY BANK","05 Dec 2023","46895.90","47230.55","46653.65","47012.25"
"NIFTY BANK","04 Dec 2023","45671.50","46484.45","45484.20","46431.40"
"NIFTY BANK","01 Dec 2023","44580.15","44951.10","44531.75","44814.20"
"NIFTY BANK","30 Nov 2023","44711.20","44764.80","44254.60","44481.75"
"NIFTY BANK","29 Nov 2023","44081.75","44630.35","44003.45","44566.45"
"NIFTY BANK","28 Nov 2023","43851.55","43960.30","43739.80","43880.95"
"NIFTY BANK","24 Nov 2023","43607.35","43806.50","43566.15","43769.10"
"NIFTY BANK","23 Nov 2023","43452.75","43649.65","43451.35","43577.50"
"NIFTY BANK","22 Nov 2023","43663.60","43692.50","43230.95","43449.60"
