"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","31 Dec 2019","32345.95","32345.95","32108.75","32161.65"
"NIFTY BANK","30 Dec 2019","32486.60","32613.10","32248.50","32354.90"
"NIFTY BANK","27 Dec 2019","32142.50","32444.85","32056.25","32412.35"
"NIFTY BANK","26 Dec 2019","32276.15","32314.60","31963.25","31997.70"
"NIFTY BANK","24 Dec 2019","32337.80","32390.35","32246.05","32280.75"
"NIFTY BANK","23 Dec 2019","32381.00","32502.80","32196.85","32339.45"
"NIFTY BANK","20 Dec 2019","32266.85","32443.35","32199.45","32384.95"
"NIFTY BANK","19 Dec 2019","32281.65","32328.35","32085.05","32241.45"
"NIFTY BANK","18 Dec 2019","32292.25","32293.65","32017.30","32244.25"
"NIFTY BANK","17 Dec 2019","32082.40","32213.35","31987.35","32140.25"
"NIFTY BANK","16 Dec 2019","32159.00","32186.95","31897.75","31974.20"
"NIFTY BANK","13 Dec 2019","31775.55","32105.05","31770.50","32014.25"
"NIFTY BANK","12 Dec 2019","31356.80","31711.45","31352.10","31665.45"
"NIFTY BANK","11 Dec 2019","31151.65","31337.85","30996.40","31256.75"
"NIFTY BANK","10 Dec 2019","31386.40","31412.80","31126.00","31160.35"
"NIFTY BANK","09 Dec 2019","31321.40","31537.65","31122.05","31316.65"
"NIFTY BANK","06 Dec 2019","31797.15","31883.70","31250.65","31341.55"
"NIFTY BANK","05 Dec 2019","32083.80","32126.95","31628.30","31712.95"
"NIFTY BANK","04 Dec 2019","31549.30","32017.75","31444.00","31979.30"
"NIFTY BANK","03 Dec 2019","31920.10","31936.60","31502.95","31613.35"
"NIFTY BANK","02 Dec 2019","32008.30","32024.10","31720.60","31871.45"
"NIFTY BANK","29 Nov 2019","32074.15","32086.95","31770.80","31946.10"
"NIFTY BANK","28 Nov 2019","31981.70","32157.05","31905.90","32122.95"
"NIFTY BANK","27 Nov 2019","31832.75","31916.80","31734.50","31875.95"
"NIFTY BANK","26 Nov 2019","31692.85","31850.35","31465.85","31718.35"
"NIFTY BANK","25 Nov 2019","31065.10","31591.60","31049.75","31555.90"
"NIFTY BANK","22 Nov 2019","31389.60","31394.20","31055.20","31111.60"
"NIFTY BANK","21 Nov 2019","31413.25","31463.15","31243.00","31349.95"
"NIFTY BANK","20 Nov 2019","31292.35","31471.65","31205.55","31353.85"
"NIFTY BANK","19 Nov 2019","31045.15","31298.05","30974.30","31236.25"
"NIFTY BANK","18 Nov 2019","31036.80","31203.55","30901.85","30992.10"
"NIFTY BANK","15 Nov 2019","30912.40","31165.45","30860.70","31008.40"
"NIFTY BANK","14 Nov 2019","30615.80","30789.20","30338.35","30749.95"
"NIFTY BANK","13 Nov 2019","31084.75","31198.50","30488.10","30541.55"
"NIFTY BANK","11 Nov 2019","30664.65","31205.20","30625.80","31115.55"
"NIFTY BANK","08 Nov 2019","30571.30","31108.40","30504.05","30749.40"
