"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","31 Dec 2020","31295.90","31409.50","31088.10","31264.05"
"NIFTY BANK","30 Dec 2020","31479.80","31510.25","31007.15","31303.05"
"NIFTY BANK","29 Dec 2020","31006.90","31359.35","31002.60","31322.50"
"NIFTY BANK","28 Dec 2020","30558.85","30929.05","30538.15","30880.95"
"NIFTY BANK","24 Dec 2020","30071.65","30545.85","30007.80","30402.20"
"NIFTY BANK","23 Dec 2020","29560.75","29941.40","29446.00","29883.30"
"NIFTY BANK","22 Dec 2020","29607.50","29711.15","28976.75","29625.95"
"NIFTY BANK","21 Dec 2020","30595.80","30607.50","29201.20","29456.45"
"NIFTY BANK","18 Dec 2020","30841.85","30854.05","30374.50","30714.65"
"NIFTY BANK","17 Dec 2020","30791.20","30945.20","30643.90","30847.05"
"NIFTY BANK","16 Dec 2020","30920.35","30932.25","30587.10","30698.40"
"NIFTY BANK","15 Dec 2020","30805.40","30805.85","30345.75","30691.05"
"NIFTY BANK","14 Dec 2020","30735.15","30845.80","30624.25","30745.90"
"NIFTY BANK","11 Dec 2020","30555.30","30811.80","30328.45","30604.85"
"NIFTY BANK","10 Dec 2020","30545.35","30610.00","30202.10","30510.35"
"NIFTY BANK","09 Dec 2020","30335.05","30807.25","30326.70","30709.40"
"NIFTY BANK","08 Dec 2020","30300.30","30363.80","30025.20","30261.90"
"NIFTY BANK","07 Dec 2020","30062.60","30354.20","29950.60","30211.55"
"NIFTY BANK","04 Dec 2020","29573.40","30162.30","29473.50","30052.40"
"NIFTY BANK","03 Dec 2020","29728.90","29813.00","29379.40","29448.75"
"NIFTY BANK","02 Dec 2020","29876.70","29886.25","29149.90","29463.15"
"NIFTY BANK","01 Dec 2020","29844.80","29919.75","29511.00","29817.85"
"NIFTY BANK","27 Nov 2020","29622.00","29716.85","29368.70","29609.05"
"NIFTY BANK","26 Nov 2020","29370.40","29623.00","28923.10","29549.75"
"NIFTY BANK","25 Nov 2020","30021.90","30197.85","29132.30","29196.40"
"NIFTY BANK","24 Nov 2020","29265.60","29827.80","29206.75","29737.25"
"NIFTY BANK","23 Nov 2020","29432.80","29492.30","28852.90","29024.20"
"NIFTY BANK","20 Nov 2020","28935.75","29406.70","28580.90","29236.00"
"NIFTY BANK","19 Nov 2020","29302.60","29627.20","28819.55","28903.05"
"NIFTY BANK","18 Nov 2020","29107.90","29784.75","29056.75","29749.85"
"NIFTY BANK","17 Nov 2020","28792.25","29239.25","28722.90","29181.30"
"NIFTY BANK","14 Nov 2020","28685.70","28752.45","28431.85","28594.30"
"NIFTY BANK","13 Nov 2020","28108.70","28520.55","27703.30","28465.70"
"NIFTY BANK","12 Nov 2020","28633.75","28672.90","28066.05","28278.80"
"NIFTY BANK","11 Nov 2020","28713.15","29030.90","28211.10","28845.00"
"NIFTY BANK","10 Nov 2020","28039.45","28802.50","27916.90","28606.00"
"NIFTY BANK","09 Nov 2020","27088.95","27595.00","27068.95","27534.10"
"NIFTY BANK","06 Nov 2020","26274.10","26853.45","26135.30","26798.95"
"NIFTY BANK","05 Nov 2020","26174.80","26375.20","26000.05","26313.10"
"NIFTY BANK","04 Nov 2020","25539.55","25891.00","25142.00","25771.60"
"NIFTY BANK","03 Nov 2020","25108.00","25760.70","25085.70","25682.80"
"NIFTY BANK","02 Nov 2020","24367.60","25139.00","24120.60","24892.50"
"NIFTY BANK","30 Oct 2020","24090.15","24277.35","23612.70","23900.90"
"NIFTY BANK","29 Oct 2020","24063.50","24339.10","23822.05","24092.00"
"NIFTY BANK","28 Oct 2020","24737.85","24780.70","24057.95","24232.50"
"NIFTY BANK","27 Oct 2020","24288.05","24809.65","23924.20","24769.50"
"NIFTY BANK","26 Oct 2020","24525.80","24577.30","23867.75","24075.45"
"NIFTY BANK","23 Oct 2020","24669.20","24764.15","24360.85","24478.30"
"NIFTY BANK","22 Oct 2020","24447.35","24691.15","24250.20","24484.15"
"NIFTY BANK","21 Oct 2020","24444.20","24823.60","24099.85","24635.05"
"NIFTY BANK","20 Oct 2020","24117.35","24410.90","24039.85","24311.80"
"NIFTY BANK","19 Oct 2020","23902.90","24320.95","23754.85","24266.75"
"NIFTY BANK","16 Oct 2020","23219.85","23646.20","23148.95","23533.25"
"NIFTY BANK","15 Oct 2020","23920.35","24087.85","22970.95","23072.40"
"NIFTY BANK","14 Oct 2020","23353.15","23962.70","23149.45","23874.65"
"NIFTY BANK","13 Oct 2020","23663.05","23775.15","23431.50","23492.20"
"NIFTY BANK","12 Oct 2020","23955.60","24190.35","23552.60","23712.80"
"NIFTY BANK","09 Oct 2020","23312.60","23904.10","23132.45","23846.80"
"NIFTY BANK","08 Oct 2020","23150.25","23450.90","23063.60","23191.35"
