"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","29 Dec 2017","25484.85","25566.40","25450.25","25539.45"
"NIFTY BANK","28 Dec 2017","25463.60","25561.95","25417.40","25490.00"
"NIFTY BANK","27 Dec 2017","25652.85","25733.20","25429.55","25496.05"
"NIFTY BANK","26 Dec 2017","25659.75","25712.95","25545.60","25675.25"
"NIFTY BANK","22 Dec 2017","25615.60","25694.50","25560.50","25648.55"
"NIFTY BANK","21 Dec 2017","25608.25","25629.95","25508.90","25554.30"
"NIFTY BANK","20 Dec 2017","25779.05","25780.05","25566.05","25591.70"
"NIFTY BANK","19 Dec 2017","25640.90","25757.95","25619.60","25716.20"
"NIFTY BANK","18 Dec 2017","25181.75","25759.90","24617.15","25594.55"
"NIFTY BANK","15 Dec 2017","25487.15","25559.05","25411.25","25440.30"
"NIFTY BANK","14 Dec 2017","25062.40","25205.90","24888.65","25168.20"
"NIFTY BANK","13 Dec 2017","25118.20","25270.75","24938.55","25000.35"
"NIFTY BANK","12 Dec 2017","25413.40","25416.20","25108.60","25125.45"
"NIFTY BANK","11 Dec 2017","25434.75","25448.85","25318.70","25404.85"
"NIFTY BANK","08 Dec 2017","25145.50","25367.70","25145.50","25321.15"
"NIFTY BANK","07 Dec 2017","24935.30","25097.40","24875.35","25057.25"
"NIFTY BANK","06 Dec 2017","25066.30","25077.45","24813.60","24851.80"
"NIFTY BANK","05 Dec 2017","25030.75","25217.70","24921.30","25124.85"
"NIFTY BANK","04 Dec 2017","25295.05","25297.20","24993.35","25075.10"
"NIFTY BANK","01 Dec 2017","25409.55","25441.35","25152.65","25191.95"
"NIFTY BANK","30 Nov 2017","25693.80","25700.85","25246.85","25332.40"
"NIFTY BANK","29 Nov 2017","25829.65","25877.75","25746.80","25795.70"
"NIFTY BANK","28 Nov 2017","25830.45","25953.50","25795.50","25846.40"
"NIFTY BANK","27 Nov 2017","25693.05","25931.85","25673.50","25891.95"
"NIFTY BANK","24 Nov 2017","25776.60","25849.00","25749.10","25779.65"
"NIFTY BANK","23 Nov 2017","25826.30","25838.55","25620.95","25736.25"
"NIFTY BANK","22 Nov 2017","25805.65","25831.95","25665.85","25766.65"
"NIFTY BANK","21 Nov 2017","25829.30","25871.10","25726.50","25757.50"
"NIFTY BANK","20 Nov 2017","25733.70","25803.15","25681.70","25768.60"
"NIFTY BANK","17 Nov 2017","25875.70","25924.90","25679.55","25728.40"
"NIFTY BANK","16 Nov 2017","25292.90","25496.05","25273.70","25446.60"
"NIFTY BANK","15 Nov 2017","25241.65","25318.05","25166.35","25218.90"
"NIFTY BANK","14 Nov 2017","25352.55","25404.80","25223.10","25284.60"
"NIFTY BANK","13 Nov 2017","25570.25","25611.55","25337.25","25358.30"
"NIFTY BANK","10 Nov 2017","25250.90","25598.55","25237.20","25498.95"
"NIFTY BANK","09 Nov 2017","25281.00","25385.20","25166.15","25291.35"
"NIFTY BANK","08 Nov 2017","25375.80","25435.60","25119.50","25184.35"
"NIFTY BANK","07 Nov 2017","25669.10","25695.75","25248.95","25300.80"
"NIFTY BANK","06 Nov 2017","25569.00","25694.60","25529.50","25571.15"
"NIFTY BANK","03 Nov 2017","25531.40","25695.50","25394.95","25650.70"
"NIFTY BANK","02 Nov 2017","25508.40","25598.75","25405.50","25427.30"
"NIFTY BANK","01 Nov 2017","25197.30","25549.35","25171.75","25490.45"
"NIFTY BANK","31 Oct 2017","25042.10","25078.65","24948.10","25019.35"
"NIFTY BANK","30 Oct 2017","24873.65","25064.85","24808.55","24988.55"
"NIFTY BANK","27 Oct 2017","24887.60","24995.70","24798.65","24839.55"
"NIFTY BANK","26 Oct 2017","24953.95","25186.05","24864.60","25022.20"
"NIFTY BANK","25 Oct 2017","24980.65","25157.80","24560.75","25035.90"
"NIFTY BANK","24 Oct 2017","24141.95","24293.25","24032.65","24222.15"
"NIFTY BANK","23 Oct 2017","24085.45","24151.00","23912.55","24088.90"
"NIFTY BANK","19 Oct 2017","24238.40","24255.30","23923.70","24009.75"
"NIFTY BANK","18 Oct 2017","24354.75","24454.65","24270.05","24313.75"
"NIFTY BANK","17 Oct 2017","24697.25","24809.15","24571.85","24645.60"
"NIFTY BANK","16 Oct 2017","24815.40","24878.65","24516.55","24703.05"
"NIFTY BANK","13 Oct 2017","24411.10","24779.75","24387.80","24689.15"
"NIFTY BANK","12 Oct 2017","24151.45","24393.40","23978.40","24361.25"
"NIFTY BANK","11 Oct 2017","24411.45","24460.25","24054.25","24107.45"
"NIFTY BANK","10 Oct 2017","24304.80","24379.75","24273.65","24347.45"
"NIFTY BANK","09 Oct 2017","24209.55","24311.10","24156.05","24251.90"
"NIFTY BANK","06 Oct 2017","24083.55","24242.05","24074.35","24190.00"
"NIFTY BANK","05 Oct 2017","24114.75","24188.30","24033.35","24058.05"
"NIFTY BANK","04 Oct 2017","24124.15","24230.45","24058.65","24113.30"
"NIFTY BANK","03 Oct 2017","24200.60","24226.80","24007.25","24103.40"
"NIFTY BANK","29 Sep 2017","24114.00","24227.45","24004.80","24053.00"
"NIFTY BANK","28 Sep 2017","23804.05","24074.20","23611.10","24008.15"
"NIFTY BANK","27 Sep 2017","24308.70","24331.85","23766.60","23812.95"
"NIFTY BANK","26 Sep 2017","24105.60","24236.95","24017.40","24199.15"
"NIFTY BANK","25 Sep 2017","24361.55","24363.80","24015.45","24165.05"
"NIFTY BANK","22 Sep 2017","24704.55","24709.70","24340.00","24368.85"
"NIFTY BANK","21 Sep 2017","24934.10","24992.50","24706.45","24799.25"
"NIFTY BANK","20 Sep 2017","24984.65","25052.60","24938.30","24965.05"
"NIFTY BANK","19 Sep 2017","25059.75","25103.45","24993.00","25041.55"
"NIFTY BANK","18 Sep 2017","24948.15","25105.35","24941.75","25046.90"
"NIFTY BANK","15 Sep 2017","24840.30","24916.85","24791.55","24844.30"
"NIFTY BANK","14 Sep 2017","24857.25","24994.30","24815.50","24912.25"
"NIFTY BANK","13 Sep 2017","24818.35","24948.80","24737.80","24831.80"
"NIFTY BANK","12 Sep 2017","24779.15","24821.35","24653.60","24784.70"
"NIFTY BANK","11 Sep 2017","24468.50","24735.35","24458.25","24672.25"
"NIFTY BANK","08 Sep 2017","24409.50","24419.25","24273.00","24370.80"
"NIFTY BANK","07 Sep 2017","24324.85","24413.10","24246.90","24304.90"
"NIFTY BANK","06 Sep 2017","24192.40","24331.30","24151.10","24279.15"
"NIFTY BANK","05 Sep 2017","24272.60","24388.05","24256.30","24328.30"
"NIFTY BANK","04 Sep 2017","24456.30","24459.35","24156.40","24236.85"
"NIFTY BANK","01 Sep 2017","24389.20","24494.35","24319.20","24434.00"
"NIFTY BANK","31 Aug 2017","24354.35","24354.35","24207.70","24318.40"
"NIFTY BANK","30 Aug 2017","24253.05","24384.10","24241.30","24308.70"
"NIFTY BANK","29 Aug 2017","24302.00","24320.95","24103.30","24128.95"
"NIFTY BANK","28 Aug 2017","24351.25","24422.45","24301.35","24377.10"
"NIFTY BANK","24 Aug 2017","24374.75","24411.05","24224.85","24274.20"
"NIFTY BANK","23 Aug 2017","24084.95","24350.00","24074.15","24316.80"
"NIFTY BANK","22 Aug 2017","24080.60","24127.45","23852.65","23974.45"
"NIFTY BANK","21 Aug 2017","24140.55","24258.95","23882.25","23936.50"
