"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","31 Dec 2018","27267.80","27286.50","27105.00","27160.20"
"NIFTY BANK","28 Dec 2018","27048.40","27213.45","27039.60","27125.25"
"NIFTY BANK","27 Dec 2018","27200.65","27239.95","26845.10","26878.55"
"NIFTY BANK","26 Dec 2018","26634.00","27029.15","26408.15","26986.80"
"NIFTY BANK","24 Dec 2018","26877.05","26934.85","26676.95","26714.75"
"NIFTY BANK","21 Dec 2018","27261.25","27369.10","26823.10","26869.65"
"NIFTY BANK","20 Dec 2018","27128.65","27309.10","27084.50","27275.10"
"NIFTY BANK","19 Dec 2018","27229.05","27364.35","27214.30","27298.40"
"NIFTY BANK","18 Dec 2018","26917.30","27210.05","26840.80","27174.70"
"NIFTY BANK","17 Dec 2018","26915.45","27051.40","26908.60","27015.80"
"NIFTY BANK","14 Dec 2018","26810.85","26909.00","26732.70","26826.00"
"NIFTY BANK","13 Dec 2018","26844.15","26951.45","26723.65","26816.35"
"NIFTY BANK","12 Dec 2018","26286.25","26672.70","26214.75","26643.85"
"NIFTY BANK","11 Dec 2018","25602.25","26227.90","25598.95","26163.40"
"NIFTY BANK","10 Dec 2018","26073.65","26336.20","26072.00","26102.65"
"NIFTY BANK","07 Dec 2018","26307.40","26659.70","26252.10","26594.30"
"NIFTY BANK","06 Dec 2018","26339.10","26359.90","26149.45","26198.30"
"NIFTY BANK","05 Dec 2018","26572.10","26627.35","26443.65","26519.60"
"NIFTY BANK","04 Dec 2018","26809.50","26843.80","26644.75","26693.80"
"NIFTY BANK","03 Dec 2018","27032.90","27037.10","26791.65","26857.55"
"NIFTY BANK","30 Nov 2018","27009.30","27012.70","26764.90","26862.95"
"NIFTY BANK","29 Nov 2018","26641.60","27003.75","26577.15","26939.60"
"NIFTY BANK","28 Nov 2018","26489.65","26584.95","26419.65","26457.95"
"NIFTY BANK","27 Nov 2018","26286.10","26491.25","26268.65","26443.10"
"NIFTY BANK","26 Nov 2018","26096.00","26396.60","26025.05","26365.60"
"NIFTY BANK","22 Nov 2018","26233.65","26323.95","25947.85","25999.45"
"NIFTY BANK","21 Nov 2018","26105.45","26342.05","26060.55","26262.05"
"NIFTY BANK","20 Nov 2018","26211.50","26259.40","26041.80","26113.35"
"NIFTY BANK","19 Nov 2018","26364.60","26379.10","26204.35","26300.70"
"NIFTY BANK","16 Nov 2018","26205.35","26332.75","26122.55","26245.55"
"NIFTY BANK","15 Nov 2018","25946.20","26197.60","25728.00","26154.75"
"NIFTY BANK","14 Nov 2018","25952.40","26045.05","25806.70","25930.15"
"NIFTY BANK","13 Nov 2018","25422.00","25796.50","25384.55","25768.60"
"NIFTY BANK","12 Nov 2018","25816.15","25907.20","25495.10","25539.75"
"NIFTY BANK","09 Nov 2018","25742.55","25822.75","25598.75","25771.00"
"NIFTY BANK","07 Nov 2018","25818.10","25824.40","25698.10","25737.50"
"NIFTY BANK","06 Nov 2018","25747.40","25860.75","25558.35","25598.00"
"NIFTY BANK","05 Nov 2018","25731.55","25788.20","25534.40","25732.20"
"NIFTY BANK","02 Nov 2018","25545.35","25856.25","25499.15","25701.65"
"NIFTY BANK","01 Nov 2018","25285.20","25401.60","25129.45","25323.65"
"NIFTY BANK","31 Oct 2018","24823.80","25201.30","24528.35","25153.25"
