"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","31 Dec 2015","16916.05","16972.25","16896.65","16922.20"
"NIFTY BANK","30 Dec 2015","16997.50","17011.30","16889.05","16917.90"
"NIFTY BANK","29 Dec 2015","16988.30","17045.55","16921.15","16991.45"
"NIFTY BANK","28 Dec 2015","16843.40","17019.00","16843.40","16979.15"
"NIFTY BANK","24 Dec 2015","16926.95","16939.60","16756.90","16811.00"
"NIFTY BANK","23 Dec 2015","16828.35","16913.15","16812.50","16882.50"
"NIFTY BANK","22 Dec 2015","16810.70","16946.10","16704.15","16749.20"
"NIFTY BANK","21 Dec 2015","16593.40","16848.60","16580.65","16825.15"
"NIFTY BANK","18 Dec 2015","16719.45","16737.70","16572.75","16594.30"
"NIFTY BANK","17 Dec 2015","16704.05","16771.80","16544.65","16741.50"
"NIFTY BANK","16 Dec 2015","16464.50","16640.40","16363.90","16579.40"
"NIFTY BANK","15 Dec 2015","16342.35","16425.15","16188.05","16398.65"
"NIFTY BANK","14 Dec 2015","16212.40","16440.85","16205.80","16350.65"
"NIFTY BANK","11 Dec 2015","16751.35","16758.70","16260.10","16342.50"
"NIFTY BANK","10 Dec 2015","16697.20","16745.25","16573.15","16711.05"
"NIFTY BANK","09 Dec 2015","16762.15","16868.60","16626.55","16660.75"
"NIFTY BANK","08 Dec 2015","16888.65","16943.05","16783.65","16801.15"
"NIFTY BANK","07 Dec 2015","17018.00","17031.85","16921.75","16947.00"
"NIFTY BANK","04 Dec 2015","17009.45","17009.45","16880.35","16897.30"
"NIFTY BANK","03 Dec 2015","17137.80","17219.00","17080.25","17110.10"
"NIFTY BANK","02 Dec 2015","17457.15","17470.85","17164.00","17218.50"
"NIFTY BANK","01 Dec 2015","17456.75","17495.45","17353.85","17398.55"
"NIFTY BANK","30 Nov 2015","17336.25","17498.35","17336.25","17430.40"
"NIFTY BANK","27 Nov 2015","17095.20","17403.65","17049.55","17370.95"
"NIFTY BANK","26 Nov 2015","16988.20","17111.45","16972.60","17036.55"
"NIFTY BANK","24 Nov 2015","17012.85","17108.40","16964.90","16988.65"
"NIFTY BANK","23 Nov 2015","17120.25","17126.35","16969.35","17060.25"
"NIFTY BANK","20 Nov 2015","17022.70","17262.85","16931.30","17055.60"
"NIFTY BANK","19 Nov 2015","16944.35","17110.35","16874.70","17071.90"
"NIFTY BANK","18 Nov 2015","17108.90","17186.70","16787.55","16812.10"
"NIFTY BANK","17 Nov 2015","17302.55","17302.55","17028.20","17140.45"
"NIFTY BANK","16 Nov 2015","16881.65","17230.50","16855.50","17184.90"
"NIFTY BANK","13 Nov 2015","16829.30","16962.55","16741.80","16932.85"
"NIFTY BANK","11 Nov 2015","16944.70","17016.80","16935.90","16956.00"
"NIFTY BANK","10 Nov 2015","16895.20","17047.30","16805.05","16836.00"
"NIFTY BANK","09 Nov 2015","16667.90","17069.00","16587.25","17003.00"
"NIFTY BANK","06 Nov 2015","17003.00","17143.60","16911.60","17086.50"
"NIFTY BANK","05 Nov 2015","17166.45","17166.45","16957.35","16995.10"
"NIFTY BANK","04 Nov 2015","17449.00","17449.00","17175.65","17221.05"
"NIFTY BANK","03 Nov 2015","17436.50","17466.20","17265.05","17325.60"
"NIFTY BANK","02 Nov 2015","17351.45","17372.25","17208.95","17340.60"
"NIFTY BANK","30 Oct 2015","17249.90","17399.10","17170.35","17354.50"
"NIFTY BANK","29 Oct 2015","17388.40","17400.20","17178.85","17212.20"
"NIFTY BANK","28 Oct 2015","17589.35","17682.45","17281.40","17373.15"
"NIFTY BANK","27 Oct 2015","17738.45","17855.35","17738.45","17806.30"
"NIFTY BANK","26 Oct 2015","18027.10","18029.05","17798.65","17815.05"
"NIFTY BANK","23 Oct 2015","17859.75","17980.50","17852.55","17934.05"
"NIFTY BANK","21 Oct 2015","17814.55","17891.75","17565.35","17710.55"
"NIFTY BANK","20 Oct 2015","17843.65","17940.40","17755.65","17830.25"
"NIFTY BANK","19 Oct 2015","17911.65","17954.90","17817.95","17855.05"
